slug,english,arabic,urdu,gender,qfacts_gender,person_ld_gender,namecard_gender,faq_gender_answer,origin,letters,letter_breakdown,meaning_dict,meaning_root,meaning_iuh,mean_dict_marker_placeholder,mean_root_marker_placeholder,mean_iuh_marker_placeholder,bearers_count_json,is_widely_attested_negative,word_count_prose,prose_male_pronouns,prose_female_pronouns,is_duplicate_of,slug_spelling_ok,arabic_ok,urdu_ok,gender_verified,gender_review_needed,content_thin,content_review_needed,famous_bearers_count,bearers_count_visible
arif,Arif,عارف,عارف,Male,Male,Male,Male,"Arif is a boy name in Islam. Wise, knower — Indonesian/Arab boys name.",Arabic,4,Ain · Alif · Ra · Fa,"Knower, gnostic — one who knows experientially.","ع-ر-ف — Root meaning to know experientially, to recognize; 'arif is the gnostic, the one who knows by direct knowledge.","Ain perceives essence, Alif anchors origin, Ra carries mercy in motion, and Fa opens the heart of knowing — a name of inward gnosis.",0,0,0,1,0,1280,2,0,,1,1,1,1,0,0,0,1,1
arij,Arij,أريج,اریج,Female,Female,Female,Female,Arij is a girl name in Islam. Fragrance.,Arabic,4,Alif · Ra · Ya · Jeem,Fragrance.,"أ-ر-ج — From the Arabic root a-r-j, meaning a sweet fragrance that spreads through the air. Arij denotes a delicate, diffusing aroma.","Alif as origin opens the garden, Ra carries fragrance in motion, Ya reaches outward, and Jeem unfolds the beauty of scent — a name of sweet diffusion.",0,0,0,0,1,1263,0,2,,1,1,1,1,0,0,1,0,0
arish,Arish,عريش,عریش,Male,Male,Male,Male,"Arish is a boy name in Islam. Throne, canopy — the high covered throne, the place of noble elevation.",Arabic,4,Ain · Ra · Ya · Sheen,"Throne, canopy — the high covered throne, the place of noble elevation",ع-ر-ش — Root meaning to construct a raised throne or canopy; al-'Arsh is the divine Throne in the Quran.,"Ain perceives high station, Ra carries elevation, Ya reaches in noble height, and Sheen radiates from the throne — a name of canopied dignity.",0,0,0,0,1,859,0,0,,1,1,1,1,0,0,1,0,0
arisha,Arisha,أريشة,أریشہ,Female,Female,Female,Female,,Arabic,5,Alif · Ra · Ya · Sheen · Ta,"The throne, the canopy — she under whose shade others find rest","ع-ر-ش — Root meaning a raised dwelling, throne or canopy; same root as 'arsh.","Alif as origin opens, Ra lifts in motion, Ya reaches in elevation, Sheen radiates, and ta marbuta seals feminine completion — a name of throne-canopied grace.",0,0,0,0,1,864,0,0,,1,1,1,1,0,0,1,0,0
arjumand,Arjumand,أرجمند,أرجمند,Female,Female,Female,Female,,Persian,6,Alif · Ra · Jeem · Meem · Nun · Dal,"Noble, beloved — the real name of Mumtaz Mahal",,"Alif as origin opens nobility, Ra carries the beloved in motion, Jeem unfolds beauty, Meem holds in love, Nun records in the inkwell, and Dal is the door of return — a Persian name of cherished worth.",0,1,0,1,0,919,0,3,,1,1,1,1,0,1,1,1,1
armaan,Armaan,آرمان,آرمان,Male,Male,Male,Male,"Armaan is traditionally a Muslim boy name. Desire, hope, longing — the deep wish of the heart.",Persian,5,Alif · Ra · Meem · Alif · Nun,"Desire, hope, longing — the deep wish of the heart",,"Alif as origin opens longing, Ra carries the wish in motion, Meem holds it in love, Alif returns to source, and Nun records hope in the inkwell — a Persian name of heart's desire.",0,1,0,0,0,964,0,0,,1,1,1,1,0,1,1,1,1
arman,Arman,أرمان,أرمان,Female,Female,Female,Female,Arman is a girl name in Islam. Arman — Wish/hope — Pakistani boys name. s in Islamic.,Arabic,5,Alif · Ra · Meem · Alif · Nun,"Wish, hope, ardent longing — Persian Pakistani boys' name",,"Alif as origin opens, Ra carries hope in motion, Meem holds in love, Alif returns, and Nun is the inkwell of aspiration — a name of cherished longing.",0,1,0,0,1,1223,2,0,,1,1,1,1,0,1,1,0,0
aroha,Aroha,عروه,عروہ,Female,Female,Female,Female,"Aroha is a girl name in Islam. Link, handhold — Quranic word as girls name.",Arabic,4,Ain · Ra · Waw · Ha,"Link, handhold — Quranic word as girls name","ع-ر-و — Root meaning a firm handhold, a binding tie; al-'urwa al-wuthqa in the Quran is the firmest handhold of faith.","Ain perceives the steadfast bond, Ra carries connection in motion, Waw connects, and the light Ha holds identity in faith — a Quranic name of firm handhold.",0,0,0,0,1,1273,0,0,,1,1,1,1,0,0,1,0,0
aroob,Aroob,عروب,عروب,Female,Female,Female,Female,Aroob is a girl name in Islam. Devoted wife — directly from the Quran describing the women of paradise.,Arabic,4,Ain · Ra · Waw · Ba,Devoted wife — directly from the Quran describing the women of paradise,ع-ر-ب — Root in this form denotes a wife loving and devoted to her husband; the Quran (Surah al-Waqi'a 56:37) calls the women of paradise 'uruban atrabaa.,"Ain perceives the beloved, Ra carries devotion in motion, Waw connects in union, and Ba lays the foundation of marital love — a Quranic name of devoted love.",0,0,0,0,1,767,0,2,,1,1,1,1,0,1,1,0,0
aroosa,Aroosa,عروسة,عروسہ,Female,Female,Female,Female,Aroosa is a girl name in Islam. Aroosa — Bride — Pakistani girls name. s in Islamic n.,Arabic,5,Ain · Ra · Waw · Sin · Ta,"Bride, the betrothed — Pakistani girls' name","ع-ر-س — Root meaning marriage, wedding feast; 'arus is bride and 'urs is the wedding.","Ain perceives the bride, Ra carries her in joyful motion, Waw connects two souls, Seen seals the secret covenant, and ta marbuta closes — a name of bridal grace.",0,0,0,0,0,1208,0,3,,1,1,1,1,0,0,0,1,1
arqam,Arqam,أرقم,ارقم,Male,Male,Male,Male,Arqam is traditionally a Muslim boy name. The speckled snake — Sahabi whose house was the first school of Islam.,Arabic,4,Alif · Ra · Qaf · Meem,The speckled snake — Sahabi whose house was the first school of Islam,"ر-ق-م — From the Arabic root r-q-m, meaning to mark, to write, or to inscribe. Arqam denotes one who is distinguished, marked out, or numbered among the noble.","Alif begins as the upright pen ready to mark the page, and Ra moves the stroke forward in merciful motion. Qaf draws the writing close to the heart's intent, and Meem closes the name with the love that turns mere notation into a treasured inscription.",0,0,0,1,0,985,0,0,,1,1,1,1,0,0,0,1,1
arsal,Arsal,ارسل,ارسل,Male,Male,Male,Male,"Arsal is a boy name in Islam. The one who was sent — mission-bearer, rising 2025-2026.",Arabic,4,Alif · Ra · Sin · Lam,"The one sent — mission-bearer, messenger","ر-س-ل — Root meaning to send, to dispatch; rasul is messenger and arsala is to send forth.","Alif as origin sends, Ra carries the mission in motion, Seen seals the message in trust, and Lam joins messenger to people — a name of one sent forth.",0,0,0,0,1,779,2,0,,1,1,1,1,0,1,1,0,0
arsalan,Arsalan,ارسلان,ارسلان,Male,Male,Male,Male,Arsalan is a boy name in Islam. Lion — Alp Arslan opened Anatolia to Islam (1071).,Arabic,6,Alif · Ra · Sin · Lam · Alif · Nun,Lion — Alp Arslan opened Anatolia to Islam (1071),"Turkic 'lion' (arslan/arsalan), the same word that gave Russian 'lev' analogues across the steppe. The form became deeply Islamic through Seljuk and Mamluk usage. Not a classical Arabic triliteral.","Alif as origin rises, Ra carries leonine motion, Seen seals the secret of courage, Lam joins to the people, Alif returns, and Nun records in the inkwell — a Turkic-Islamic name of the lion.",0,0,0,1,0,1311,0,0,,1,1,1,1,0,0,0,1,1
arsh,Arsh,عرش,عرش,Male,Male,Male,Male,Arsh is traditionally a Muslim boy name. The divine Throne — the highest station in creation.,Arabic,3,Ain · Ra · Sheen,The divine Throne — the highest station in creation,"ع-ر-ش — Root meaning throne, canopy, raised structure; al-'Arsh is the divine Throne, mentioned many times in the Quran.","Ain perceives the highest station, Ra carries elevation in motion, and Sheen radiates from the throne of light — a name of supreme height.",0,0,0,0,1,903,1,0,,1,1,1,1,0,0,1,0,0
arshad,Arshad,أرشد,أرشد,Male,Male,Male,Male,"Arshad is traditionally a Muslim boy name. Most rightly guided, wisest — on the truest path.",Arabic,4,Alif · Ra · Sheen · Dal,"Most rightly guided, wisest — on the truest path","ر-ش-د — Root meaning right guidance, maturity, sound judgment; ar-Rashid is one of the divine Names.","Alif as origin sets out, Ra carries motion on the path, Sheen radiates clarity, and Dal is the door of return to right guidance — a superlative name of guidance.",0,0,0,0,0,915,0,0,,1,1,1,1,0,0,0,2,2
arshan,Arshan,أرشان,ارشان,Male,Male,Male,Male,"Arshan is a boy name in Islam. Brave, strong lion — the Persian warrior name of courage and power.",Persian,5,Alif · Ra · Sheen · Alif · Nun,"Brave, strong lion — the Persian warrior name of courage and power",,"Alif as origin stands brave, Ra carries strength in motion, Sheen radiates courage, Alif returns, and Nun records valour in the inkwell — a Persian name of lion-strength.",0,1,0,0,1,820,2,0,,1,1,1,1,0,1,1,0,0
arslan,Arslan,أرسلان,ارسلان,Male,Male,Male,Male,Arslan is a boy name in Islam. Lion — Turkic-Islamic boys name.,Arabic,6,Alif · Ra · Sin · Lam · Alif · Nun,Lion — Turkic-Islamic boys name,"Turkic 'lion' (arslan), borrowed across Persianate Islam as a royal epithet from the 11th century onward. The Seljuk sultan Alp Arslan fixed it in Islamic memory.","Alif as origin rises, Ra carries the lion's stride, Seen seals quiet power, Lam joins to community, Alif returns, and Nun records strength — a Turkic name of the lion.",0,0,0,1,0,1174,1,0,,1,1,1,1,0,0,0,1,1
arwa,Arwa,عروى,عروٰی,Female,Female,Female,Female,"Arwa is a girl name in Islam. Mountain goat — companion, Prophet aunt.",Arabic,4,Ain · Ra · Waw · Ya,"Ibex; mountain goat — figuratively, beautiful and grace-footed.","ع-ر-و — From the Arabic root '-r-w, denoting a firm handhold or bond, and also the female mountain ibex. Arwa carries both the sense of trustworthy bond and graceful, sure-footed strength.","Ain perceives the high ledge before the climb begins, and Ra moves the foot forward in merciful, sure motion. Waw binds the climber to the rock that holds her, and the closing Ya yearns toward the next handhold, so the name reads as both bond and ascent.",0,0,0,1,0,1351,0,6,,1,1,1,1,0,0,0,1,1
arwaa,Arwaa,أروى,اروی,Female,Female,Female,Female,"Arwaa is a girl name in Islam. Mountain gazelle — the most graceful of all creatures, beauty in elevation.",Arabic,4,Alif · Ra · Waw · Ya,"Mountain gazelle — the most graceful of all creatures, beauty in elevation","ر-و-ي — From the Arabic root r-w-y, meaning to drink one's fill, to be quenched. Arwa, the elative form, denotes one who is most thoroughly satisfied with water.","Alif rises as the upright vessel waiting to be filled, and Ra carries water through the name in merciful motion. Waw binds the drinker to the spring, and the final Ya stretches in yearning that has at last found its quenching, so the whole name reads as thirst meeting its fulfilment.",0,0,0,1,0,955,0,1,,1,1,1,1,0,0,0,1,1
aryan,Aryan,آريان,آریان,Male,Male,Male,Male,"Aryan is a boy name in Islam. Noble, warrior — the Persian name of nobility and strength.",Arabic,5,Alif · Ra · Ya · Alif · Nun,"Noble, warrior — the Persian name of nobility and strength",,"Alif as origin uplifts, Ra carries noble motion, Ya reaches in striving, Alif returns, and Nun records honour in the inkwell — a Persian name of noble bearing.",0,1,0,0,1,834,1,0,,1,1,1,1,0,1,1,0,0
asaad,As'ad,أسعد,أسعد,Male,Male,Male,Male,"As'ad is traditionally a Muslim boy name. Happiest, most fortunate — the one blessed with the greatest joy.",Arabic,4,Alif · Sin · Ain · Dal,"Happiest, most fortunate — the one blessed with the greatest joy","س-ع-د — From s-ʿ-d, to be happy, fortunate, blessed — the same root as saʿāda (felicity) and Saʿd. Asʿad is the elative ('happiest, most fortunate').","Alif anchors origin in the One, Seen seals the secret of joy, Ain perceives the Source of all blessing, Dal opens the door of return. Origin, secret, perception, threshold — happiness rooted not in fortune but in seeing where every blessing comes from.",0,0,0,1,0,962,0,0,,1,1,1,1,0,0,0,1,1
asad,Asad,أسد,اسد,Male,Male,Male,Male,Asad is a boy name in Islam. Lion — top Arab boys name.,Arabic,3,Alif · Sin · Dal,Lion.,أ-س-د — From '-s-d — the lion; one of many Arabic names for the lion (asad,"Alif origin, Sin expansion, Dal return.",0,0,0,2,0,1201,5,0,,1,1,1,1,0,0,0,2,2
asalah,Asalah,أصالة,اصالہ,Female,Female,Female,Female,"Asalah is a girl name in Islam. Authenticity, noble origin — the woman of genuine, deep-rooted nobility.",Arabic,5,Alif · Sad · Alif · Lam · Ta,"Authenticity, noble origin — the woman of genuine, deep-rooted nobility","أ-ص-ل — Root meaning origin, root, foundation, authenticity; asl is the root of a thing.","Alif as origin grounds, Sad keeps fidelity to roots, Alif returns, Lam joins to lineage, and ta marbuta seals feminine completion — a name of authentic noble origin.",0,0,0,0,0,875,0,3,,1,1,1,1,0,0,0,1,1
asel,Asel,أصيل,اصیل,Female,Female,Female,Female,"Asel is a girl name in Islam. Authentic, pure — Gulf trending girls name.",Arabic,4,Alif · Sad · Ya · Lam,"Authentic, pure — Gulf trending girls name",أ-ص-ل — From the root of authenticity and noble origin; same root as asalah.,"Alif as origin opens, Sad keeps fidelity, Ya reaches in continuity, and Lam joins line to line — a Gulf name of authentic purity.",0,0,0,0,1,1191,0,0,,1,1,1,1,0,0,1,0,0
ashfaq,Ashfaq,أشفق,أشفق,Male,Male,Male,Male,"Ashfaq is traditionally a Muslim boy name. Most compassionate friend, kindest companion.",Arabic,4,Alif · Sheen · Fa · Qaf,"Most compassionate friend, kindest companion","ش-ف-ق — Root meaning compassion, tender pity, dread of harm to another; shafaqa is loving concern.","Alif as origin opens, Sheen radiates kindness, Fa opens the heart, and Qaf reaches the heart's depths — a superlative name of compassionate friendship.",0,0,0,0,0,895,0,0,,1,1,1,1,0,0,0,2,2
ashhad,Ashhad,أشهد,اشہد,Male,Male,Male,Male,"Ashhad is a boy name in Islam. I bear witness — the opening of the Shahada, the supreme declaration of faith.",Arabic,4,Alif · Sheen · Ha · Dal,"I bear witness — the opening of the Shahada, the supreme declaration of faith","ش-ه-د — Root meaning to witness, to testify; shahada is the testimony of faith.","Alif as origin stands forth, Sheen radiates the witnessing word, the light Ha bears identity in declaration, and Dal is the door of return to truth — a name of bearing witness.",0,0,0,0,1,924,0,0,,1,1,1,1,0,0,1,0,0
ashraf,Ashraf,أشرف,اشرف,Male,Male,Male,Male,Ashraf is a boy name in Islam. Most noble — top Arab boys name.,Arabic,4,Alif · Sheen · Ra · Fa,Most noble — top Arab boys name,"ش-ر-ف — From sh-r-f, height, nobility, honour — the same root as sharaf (honour) and sharīf (noble). Ashraf is the elative ('most noble').","Alif anchors at the noble origin, Sheen radiates the light of honour, Ra carries that light in motion and mercy, Fa opens it outward to others. Origin, radiance, mercy-in-motion, opening — true nobility is a light that moves and opens, not one that hoards itself.",0,0,0,2,0,1128,0,0,,1,1,1,1,0,0,0,2,2
asia,Asia,آسيا,آسیا,Female,Female,Female,Female,Asia is a girl name in Islam. Asia.,Arabic,4,Alif · Sin · Ya · Alif,"Asia — the continent as a girls name, widely used","From the root ʾ-s-w meaning to console, to heal a wound, to tend. Āsiya carries the sense of 'one who heals, who consoles' — the queen who consoled the infant Mūsā.","In Asia, the Alif of origin opens the path, the Seen seals an inward secret, and the Ya of yearning carries the soul outward toward distant horizons. The closing Alif returns the bearer to her source, framing identity as both rootedness and reach.",0,0,0,0,0,1281,0,4,,1,1,1,1,0,0,0,1,1
asif,Asif,آصف,آصف,Male,Male,Male,Male,Asif is a boy name in Islam. The wise counsellor — name of Prophet Sulaiman's trusted minister.,Arabic,3,Alif · Sad · Fa,"Forgiving; or 'storm', depending on tradition.","أ-س-ف — From '-s-f, to grieve, to feel deeply — and figuratively","Alif anchors the soul in the One, Sad seals fidelity even under storm, Fa opens what was sealed at the right moment. Origin, fidelity, opening — a name that holds a quiet promise: the loyal heart will be opened in its own time.",0,0,0,1,0,819,0,0,,1,1,1,1,0,0,0,1,1
asim,Asim,عاصم,عاصم,Male,Male,Male,Male,Asim is a boy name in Islam. Protector — companion name.,Arabic,4,Ain · Alif · Sad · Meem,"Protector, the one who restrains from harm","ع-ص-م — From ʿ-ṣ-m, to protect, to preserve, to hold fast — the same root as ʿiṣma (protection, infallibility) and iʿtaṣama (to cling fast, Q 3:103).","Ain perceives where danger lies, Sad seals fidelity to what must be guarded, Meem wraps it in love and motherly care. Perception, fidelity, love — protection here is not a wall but a watchful, faithful, tender holding.",0,0,0,2,0,1281,2,0,,1,1,1,1,0,0,0,2,2
asiya,Asiya,آسية,آسیہ,Female,Female,Female,Female,Asiya is a girl name in Islam. Wife of Pharaoh — one of the four greatest women in Islam.,Arabic,4,Alif · Sin · Ya · Ta,Wife of Pharaoh — one of the four greatest women in Islam,"From the root ʾ-s-w — to heal, to console, to mend. Āsiya is named after the wife of Pharaoh who raised Mūsā (Moses) and whom the Prophet ﷺ named among the four greatest women of paradise.","Asiya's Alif of origin grounds her, the Seen marks a guarded inward secret, and the Ya of yearning lifts her toward the unseen. The final ة of completion seals her name as one whose endurance is fulfilled in the eternal.",0,0,0,1,0,1350,1,11,,1,1,1,1,0,0,0,1,1
asiyah,Asiyah,آسية,آسیہ,Female,Female,Female,Female,Asiyah is a girl name in Islam. Asiya wife of Pharaoh — one of four greatest women.,Arabic,4,Alif · Sin · Ya · Ta,Asiya wife of Pharaoh — one of four greatest women,From the root ʾ-s-w meaning to mend and to console — the same root yielding āsi (consoler) and uswa (a model to follow). The Qur'an names Āsiya as the believing wife of Pharaoh and a model for all the believers (66:11).,"In Asiyah, the Alif of origin and the Seen of inward secret meet the Ya of reaching, while the final ة of completion crowns the name. Together the letters describe a soul whose hidden fidelity is brought to its fullness.",0,0,0,1,0,1240,0,1,,1,1,1,1,0,0,0,1,1
aslam,Aslam,أسلم,أسلم,Male,Male,Male,Male,"Aslam is traditionally a Muslim boy name. The one who submits, the most at peace — pure surrender.",Arabic,4,Alif · Sin · Lam · Meem,"The one who submits, the most at peace — pure surrender","س-ل-م — From s-l-m, peace, soundness, surrender — the same root as Islām, salām, and muslim. Aslama is the verb 'he submitted'; Aslam is the elative ('most at peace, most surrendered').","Alif aligns the self with the One, Seen seals the inward secret of submission, Lam joins the soul to its Lord, Meem wraps the whole in love. Origin, secret, joining, love — peace is the inward seal of a heart that has joined itself to God in love.",0,0,0,1,0,1029,0,0,,1,1,1,1,0,0,0,1,1
asli,Asli,اصلی,اصلی,Female,Female,Female,Female,"Asli is a girl name in Islam. Original, genuine — classic Turkish female name.",Arabic,4,Alif · Sad · Lam · Ya,"Original, genuine — classic Turkish female name","أ-ص-ل — From the Arabic root a-s-l, meaning root, origin, foundation, or that which is genuine and authentic. It denotes what is original and true in essence.","Asli's Alif of origin and Sad of fidelity anchor her to a true foundation, while the Lam of joining binds her to that origin and the Ya of yearning draws her toward it. The name reads as a soul tethered to authenticity.",0,0,0,0,0,784,0,8,,1,1,1,1,0,0,0,1,1
asma,Asma,أَسْمَاء,أَسْمَاء,Female,Female,Female,Female,"Asma is a girl name in Islam. Noble names — daughter of Abu Bakr, companion.",Arabic,5,Alif · Sin · Meem · Alif · Hamza,"Names — and 'noble, exalted'; also Asmāʾ bint Abī Bakr, the Prophet's companion.","س-م-و — From s-m-w, to be elevated; asmāʾ is also the plural of ism (name).","Alif origin, Sin expansion, Meem love, Alif again.",0,0,0,2,0,1316,0,4,,1,1,1,1,0,0,0,2,2
asma-bint-yazid,Asma Bint Yazid,أسماء بنت يزيد,اسماء بنت یزید,Female,Female,Female,Female,Asma Bint Yazid is a girl name in Islam. The speaker of women — the companion who gave the women's speech to the Prophet.,Arabic,12,Alif · Sin · Meem · Alif · Hamza · Ba · Nun · Ta · Ya · Zayn · Ya · Dal,The speaker of women — the companion who gave the women's speech to the Prophet,"س-م-و — Asmaʾ is the plural of ism (name), from s-m-w, to be elevated, lifted high — the same root as samāʾ (sky) and the divine asmāʾ al-ḥusnā (most beautiful names).","Alif anchors in the One, Seen seals the inner secret, Meem holds it in love, the long Alif of madd lifts it high, Hamza opens to the primordial breath. Origin, secret, love, elevation, breath — a name that means names lifted to the sky, befitting a woman called Khaṭibat al-Nisāʾ.",0,0,0,1,0,1048,0,5,,1,1,1,1,0,0,0,1,1
asmae,Asmae,أَسْمَاء,أَسْمَاء,Female,Female,Female,Female,Asmae is a girl name in Islam. Asma — Moroccan spelling variant.,Arabic,5,Alif · Sin · Meem · Alif · Hamza,Asma — Moroccan spelling variant,"س-م-و — Moroccan French spelling of Asmāʾ, plural of ism (name), from s-m-w, to rise, to be elevated — the root of samāʾ (heaven) and the divine asmāʾ al-ḥusnā.","Alif at the origin, Seen sealing the secret of each name, Meem of love, and the long Alif lifting the form skyward. Origin, secret, love, ascent — names that begin in God and rise back toward Him.",0,0,0,1,0,1346,2,4,,1,1,1,1,0,0,0,1,1
asmahan,Asmahan,أسمهان,اسمہان,Female,Female,Female,Female,Asmahan is a girl name in Islam. Elevated names — legendary Syrian singer.,Arabic,6,Alif · Sin · Meem · Ha · Alif · Nun,Elevated names — legendary Syrian singer,"س-م-و — Built on s-m-w (rise, elevation) and the plural asmāʾ (names) — Asmahan is read as 'elevated names' or 'two names of high rank'.","Alif at origin, Seen of secret, Meem of love, Ha-light of identity, and Nun of inwardness and the inkwell. Origin, secret, love, identity, inkwell — names that rise because they were first written in love.",0,0,0,1,0,1222,0,3,,1,1,1,1,0,0,0,1,1
asr,Asr,عصر,عصر,Female,Female,Female,Female,"Asr is a girl name in Islam. Time/Afternoon — Surah 103, all humanity is at loss except believers.",Arabic,3,Ain · Sad · Ra,"Time/Afternoon — Surah 103, all humanity is at loss except believers","ع-ص-ر — From the Arabic root a-s-r, meaning to press, to squeeze, and by extension a span of time or an era. It also names the late afternoon prayer and the passage of time.","In Asr, the Ain of perceiving sees through appearance, the Sad of fidelity holds firm against the press of time, and the Ra of motion carries the soul through history's flow. The three letters together evoke a witness within time who remains faithful as the hours pass.",0,0,0,0,1,845,1,2,,1,1,1,1,0,0,1,0,0
asra,Asra,أسرى,اسریٰ,Female,Female,Female,Female,"Asra is a girl name in Islam. Night journey — the miraculous Isra of the Prophet, the journey to Allah.",Arabic,4,Alif · Sin · Ra · Ya,"Night journey — the miraculous Isra of the Prophet, the journey to Allah","س-ر-ي — From the Arabic root s-r-y, meaning to travel by night, to journey under cover of darkness. It is the root of Isra, the Prophet's miraculous night journey.","Asra opens with the Alif of origin, moves through the Seen of secret and the Ra of motion, and arrives at the Ya of yearning. Together they trace a hidden journey from source to longed-for horizon, a night-flight of the spirit.",0,0,0,0,0,951,4,0,,1,1,1,1,0,0,0,1,1
asya,Asya,آسيا,آسیا,Female,Female,Female,Female,Asya is a girl name in Islam. Asia.,Turkish,4,Alif · Sin · Ya · Alif,Asia.,,"In Asya, the Alif of origin sets the soul in place, the Seen of secret guards an inward depth, and the Ya of yearning reaches outward. The closing Alif returns her once more to her beginning, weaving a circle of departure and return.",0,1,0,0,1,1268,0,4,,1,1,1,1,0,1,1,0,0
athar,Athar,أطهر,أطہر,Male,Male,Male,Male,"Athar is traditionally a Muslim boy name. Most pure, most clean — the superlative of purity.",Arabic,4,Alif · Ta · Ha · Ra,"Most pure, most clean — the superlative of purity","ط-ه-ر — From the Arabic root t-h-r, meaning to be pure, clean, or purified. It names ritual and inward purity in the Quranic vocabulary.","Athar's Alif of origin opens onto the Ta of purity, the Ha of identity, and the Ra of mercy in motion. The four letters together describe one whose essential identity is washed clean, his being a mercy that flows from a purified source.",0,0,0,0,0,905,2,0,,1,1,1,1,0,0,0,1,1
atif,Atif,عاطف,عاطف,Male,Male,Male,Male,Atif is a boy name in Islam. Compassionate — top Pakistani boys name.,Arabic,4,Ain · Alif · Ta · Fa,Compassionate — top Pakistani boys name,"ع-ط-ف — From the Arabic root a-t-f, meaning to bend, to incline, or to turn toward with affection. It names tenderness, compassion, and the inclination of mercy.","In Atif, the Ain of perceiving sees the other's need, the Ta of purity keeps the heart clean, and the Fa of opening unfolds toward them in compassion. The Alif of origin within steadies him as one who bends without breaking.",0,0,0,0,0,1440,5,0,,1,1,1,1,0,0,0,1,1
atiq,Atiq,عتيق,عتیق,Male,Male,Male,Male,"Atiq is traditionally a Muslim boy name. Ancient, noble, the freed one — title of Abu Bakr al-Siddiq.",Arabic,4,Ain · Ta · Ya · Qaf,"Ancient, noble, the freed one — title of Abu Bakr al-Siddiq","ع-ت-ق — From ʿ-t-q, to be ancient, to be freed (from slavery) — the same root as ʿitq (manumission). ʿAtīq was the title given to Abu Bakr al-Ṣiddīq, said to mean 'the freed one (from the Fire)'.","Ain perceives the eternal, Ta-light bears witness in time, Qaf reaches into the heart with the call of freedom. Perception, witness, heart-reach — what is ancient and free is what the heart has long borne witness to.",0,0,0,1,0,1030,0,0,,1,1,1,1,0,0,0,1,1
atiya,Atiya,عطية,عطیہ,Female,Female,Female,Female,,Arabic,4,Ain · Ta · Ya · Ta,"Gift, divine bestowal — she who is a gift from Allah","ع-ط-و — From ʿ-ṭ-w/ʿ-ṭ-y, to give, to bestow — the same root as aʿṭā (he gave), ʿaṭāʾ (gift), and the divine attribute al-Muʿṭī (the Bestower).","Ain perceives the Giver, Ta-heavy holds the gift in purity, Ya yearns toward the Source, final Ta-marbuta completes it as a manifest blessing. Perception, purity, yearning, completion — a gift seen as gift, kept clean, longed-for, made whole.",0,0,0,1,0,957,0,0,,1,1,1,1,0,0,0,1,1
aulia,Aulia,أولياء,اولیاء,Female,Female,Female,Female,Aulia is a girl name in Islam. Friends of Allah — Indonesian girls name.,Arabic,6,Alif · Waw · Lam · Ya · Alif · Hamza,Friends of Allah — Indonesian girls name,"و-ل-ي — From the Arabic root w-l-y, meaning to be near, to be a friend, guardian, or protector. It is the root of wali (friend of God) and awliya (the friends of God).","Aulia's Alif of origin and Waw of connection bind her to a near presence, while the Lam of joining and Ya of yearning draw her closer still. The closing Hamza of primordial breath gives the name an inward stillness, the silence of those who keep close company with the Real.",0,0,0,0,1,1270,0,4,,1,1,1,1,0,0,1,0,0
awab,Awab,أوّاب,أوّاب,Male,Male,Male,Male,Awab is a boy name in Islam. Awab — Repentant returner — companion name. s in Isla.,Arabic,4,Alif · Waw · Alif · Ba,Penitent returner — the one who keeps turning back to God,"أ-و-ب — From the Arabic root a-w-b, meaning to return, to turn back. The intensive form awwab denotes one who repeatedly returns, especially in repentance.","In Awab, the Alif of origin and the Waw of connection are doubled with the Ba of foundation, naming a soul whose movement is always a returning. Each letter bends the path back toward the source, so the name itself enacts repentance as homecoming.",0,0,0,0,1,1216,0,0,,1,1,1,1,0,0,1,0,0
awais,Awais,أُوَيْس,اویس,Male,Male,Male,Male,Awais is a boy name in Islam. Owais.,Arabic,4,Alif · Waw · Ya · Sin,Owais.,"From the root ʾ-w-s meaning to give, to compensate, to make whole. The diminutive form Uways carries the sense of 'little wolf' in old Arab usage and 'tender giver' in spiritual usage — fixed forever by Uways al-Qaranī.","Awais's Alif of origin and Waw of connection open onto the Ya of yearning and the Seen of secret, naming a hidden longing kept close. The four letters together describe one whose love is unseen yet binding, a quiet thread tying him to what he loves.",0,0,0,1,0,1379,13,4,,1,1,1,1,0,0,0,1,1
aws,Aws,أوس,اوس,Male,Male,Male,Male,"Aws is a boy name in Islam. Gift, wolf — the companion-poet name of the Ansar of Madinah.",Arabic,3,Alif · Waw · Sin,"Gift, wolf — the companion-poet name of the Ansar of Madinah","أ-و-س — From ʾ-w-s, to give, to bestow — Aws is also the name of one of the two main Ansar tribes of Madinah, alongside Khazraj.","Alif at origin, Waw connecting giver to receiver, Seen sealing the secret of the gift. Origin, connection, secret — a gift given in quiet, where the bond matters more than the showing.",0,0,0,2,0,860,2,0,,1,1,1,1,0,0,0,2,2
aya,Aya,آية,آیہ,Female,Female,Female,Female,"Aya is a girl name in Islam. Divine verse, miraculous sign. Aya.",Arabic,3,Alif · Ya · Ta,"Sign, Quranic verse, miraculous proof","ء-ي-ي — From the Arabic root meaning sign, mark, or token. It names a verse of the Quran and any sign by which the unseen makes itself known.","Aya's Alif of origin opens the name, the Ya of yearning reaches outward, and the final ة of completion seals her. The three letters together name a sign that begins in source, stretches toward the seer, and is fulfilled in the moment of being read.",0,0,0,0,0,1322,1,4,,1,1,1,1,0,0,0,2,2
